code;nom;annee;niveau_arborescence
9260;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);2020;3
8490;Autre organisme professionnel;2020;3
6318;Union de sociétés coopératives agricoles;2020;3
7363;Caisse de crédit municipal;2020;3
8311;Comité social économique d'établissement;2020;3
5630;Safer anonyme à directoire;2020;3
6534;Groupement foncier agricole;2020;3
7371;Office public d'habitation à loyer modéré (OPHLM);2020;3
5458;SARL coopérative ouvrière de production (SCOP);2020;3
8250;Assurance mutuelle agricole;2020;3
6532;Société civile d'intérêt collectif agricole (SICA);2020;3
7112;Autorité administrative ou publique indépendante;2020;3
7351;Institution interdépartementale ou entente;2020;3
6598;Exploitation agricole à responsabilité limitée;2020;3
6901;Autre personne de droit privé inscrite au registre du commerce et des sociétés;2020;3
5454;SARL coopérative d'intérêt maritime;2020;3
5542;SA d'attribution à conseil d'administration;2020;3
5510;SA nationale à conseil d'administration;2020;3
6210;Groupement européen d'intérêt économique (GEIE);2020;3
5410;SARL nationale;2020;3
7365;Syndicat inter hospitalier;2020;3
52;Société en nom collectif;2020;2
5453;SARL coopérative artisanale;2020;3
6564;SCP d'huissiers;2020;3
5431;SARL mixte d'intérêt agricole (SMIA);2020;3
6567;SCP de greffiers de tribunal de commerce;2020;3
7384;Autre établissement public national d'enseignement;2020;3
6558;Société civile coopérative entre médecins;2020;3
8510;Institution de prévoyance;2020;3
4120;Établissement public national à caractère industriel ou commercial non doté d'un comptable public;2020;3
6561;SCP d'avocats;2020;3
7352;Institution interrégionale ou entente;2020;3
5460;Autre SARL coopérative;2020;3
7172;Service déconcentré de l'État à compétence (inter) départementale;2020;3
6599;Autre société civile;2020;3
9970;Groupement de coopération sanitaire à gestion privée;2020;3
51;Société coopérative commerciale particulière;2020;2
5306;Société en commandite simple;2020;3
3120;Société commerciale étrangère immatriculée au RCS;2020;3
